名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03
RedELF,1201033,9933,1:01,1:01,RedELF,#09-,MAEDA Miyu,Back,F,FMS,KIMURA Kasumi,F,Push,FM
RedELF,1224033,10400,1:01,1:01,RedELF,#09-,MAEDA Miyu,Back,B,FMS,KIMURA Kasumi,F,Push,B
Abyell,1254566,6466,1:01,1:01,RedELF,#02,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,B,ミユータ,BM
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,B,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
,,,,,,,,,F,,,,,
